price,floor_area,latitude,longitude,bedroom,bathroom,type_house,code,inferred_price,difference,dif_per
120000.0,80,53.912597,-7.6028774,2,1,,,141316.42,21316.421875,0.03361354745330104
550000.0,99,53.450315,-6.180351,3,2,house,K36,571745.44,21745.4375,0.03429005578822276
280000.0,242,53.546504,-9.109413,4,2,house,,336397.2,56397.1875,0.0889318830984136
650000.0,300,53.904718,-6.393884,5,3,house,A91,550435.94,-99564.0625,-0.07712510585169932
495000.0,132,53.383405,-6.246469,4,2,house,D09,470516.5,-24483.5,-0.0189656034688227
425000.0,207,52.510939,-6.573256,5,3,house,Y21,416356.25,-8643.75,-0.006695690362229102
450000.0,88,53.317085,-6.244024,2,2,apartment,D06,502847.56,52847.5625,0.08333453242302387
410000.0,167,53.1520846,-6.7891953,4,3,house,W12,460740.28,50740.28125,0.08001159207638904
260000.0,104,52.716836,-8.854136,3,3,house,V14,233229.31,-26770.6875,-0.020737322838351075
205000.0,166,54.167513,-8.608365,4,3,house,F56,259926.12,54926.125,0.0866121866014835
350000.0,177,52.048488,-7.734589,4,2,house,P36,384460.06,34460.0625,0.05433955815286048
1150000.0,261,51.896854,-8.500053,4,4,house,T12,991851.7,-158148.3125,-0.12250610346308562
355000.0,222,52.807498,-7.338165,4,3,house,R95,450833.47,95833.46875,0.15111836631552722
500000.0,209,52.617666,-8.476698,7,4,,V94,506544.03,6544.03125,0.01031918519194535
350000.0,184,52.628327,-8.2813,4,3,house,,327157.06,-22842.9375,-0.017694777898915603
410000.0,105,53.4666752,-6.2336216,3,3,house,K67,385916.6,-24083.40625,-0.01865567966655365
359000.0,116,54.270027,-8.49506,4,3,house,F91,276886.0,-82114.0,-0.06360779967075407
445000.0,167,52.098723,-7.603396,5,3,house,X35,417938.97,-27061.03125,-0.020962231222861092
300000.0,117,53.03804794639119,-7.325866782299499,3,3,house,R32,229044.2,-70955.796875,-0.054964343633286866
260000.0,108,53.03804794639119,-7.325866782299499,3,3,house,R32,226062.77,-33937.234375,-0.026288730368809566
420000.0,112,53.340545434028485,-6.555605636795121,3,2,house,W23,376083.78,-43916.21875,-0.03401873060071381
685000.0,274,52.230281388673234,-7.065116154398595,5,4,house,X91,637401.2,-47598.8125,-0.036871370656231396
645000.0,246,52.230281388673234,-7.065116154398595,4,4,house,X91,606991.2,-38008.8125,-0.029442688594189217
315000.0,127,52.64515933990487,-8.583712013179934,4,3,house,V94,289616.06,-25383.9375,-0.019663107525573494
270000.0,100,52.93527872588968,-6.243042414603991,3,3,house,A67,278203.38,8203.375,0.012935779581427683
245000.0,87,52.93527872588968,-6.243042414603991,2,2,house,A67,278811.38,33811.375,0.05331665251740832
250000.0,134,54.10004665320943,-7.457050578212062,3,2,house,H14,206511.83,-43488.171875,-0.033687153526467124
795000.0,223,52.74675,-9.50401,3,3,house,,481897.47,-313102.53125,-0.24253797262532598
295000.0,90,53.389375,-6.417749,3,2,house,D15,318026.44,23026.4375,0.03631004556606528
165000.0,69,52.160104,-7.139316,2,2,apartment,X91,178759.8,13759.796875,0.021697618292497594
395000.0,72,53.359431,-6.273474,3,1,house,D07,357300.97,-37699.03125,-0.02920272337885741
275000.0,83,53.265982,-7.507525,3,1,house,R35,227355.7,-47644.296875,-0.036906604124496846
525000.0,232,53.588044,-6.920052,4,4,house,C15,530177.4,5177.375,0.00816412535211351
400000.0,113,51.883612,-8.614786,4,3,house,P31,379052.6,-20947.40625,-0.0162264464083092
295000.0,44,53.451746,-6.156239,1,1,apartment,K36,316333.28,21333.28125,0.03364013275006983
525000.0,186,52.66242,-7.248676,4,3,house,R95,485420.6,-39579.40625,-0.03065931441456258
