floor_area,views,latitude,longitude,bathroom,type_house,code,price,inferred_price,difference,dif_per
60,5537.0,53.348076,-6.284506,1,apartment,D07,360000.0,296931.6177460774,-63068.38225392258,-0.046756117236899646
100,12125.0,52.449898,-8.809717,1,house,,90000.0,151615.04439910254,61615.04439910254,0.09391311370558442
78,10184.0,51.921396,-8.464142,1,house,T23,240000.0,233691.04934873842,-6308.950651261577,-0.004677177783069805
118,3900.0,51.88422,-8.616675,3,house,P31,420000.0,386037.5730706128,-33962.426929387206,-0.025178245555225135
315,8195.0,53.82507,-9.259419,5,house,F23,585000.0,488857.79504644766,-96142.20495355234,-0.07127559080434068
76,15577.0,52.50595,-6.577805,2,house,Y21,135000.0,137329.5161923062,2329.5161923062115,0.0035506282788662544
70,4866.0,53.312254,-6.289261,2,house,D6W,475000.0,428180.9260541848,-46819.07394581521,-0.034709596664776646
95,2304.0,52.709642,-8.884746,2,house,V14,172500.0,174957.22343601508,2457.223436015076,0.0037452785467743965
262,3836.0,53.289815,-6.223418,3,house,D14,900000.0,1230350.4907066957,330350.4907066957,0.5035173389712824
103,5597.0,55.176339,-7.943708,2,house,F92,325000.0,245622.25642958988,-79377.74357041012,-0.05884715846104995
123,2712.0,52.669627,-7.816186,3,house,E41,285000.0,257105.25344043408,-27894.746559565916,-0.020679934918602552
79,3225.0,53.371948,-6.334332,2,apartment,D15,375000.0,319294.44028001744,-55705.55971998256,-0.041297645316605944
42,3291.0,53.975846,-6.722039,1,apartment,,125000.0,100516.16543336737,-24483.834566632635,-0.018151235190991946
104,4641.0,53.487858,-10.014361,3,house,H71,295000.0,344543.31486012234,49543.31486012234,0.07551348874590781
56,9580.0,53.344528,-6.263701,1,apartment,D02,345000.0,369301.76171893266,24301.761718932656,0.03704053342513511
44,5924.0,53.395141,-7.718073,4,apartment,,245000.0,147009.15636871403,-97990.84363128597,-0.07264608999356643
115,3865.0,53.295653,-6.297276,1,house,D14,675000.0,619504.0517396617,-55495.94826033828,-0.04114224862445889
130,1040.0,52.511704,-8.222706,3,house,E34,225000.0,233640.6493113144,8640.649311314395,0.013170002378110241
120,1498.0,53.187564,-6.113767,2,house,A98,395000.0,493851.17320139654,98851.17320139654,0.15066809671776185
57,2851.0,52.797153,-6.146076,1,apartment,Y14,190000.0,138852.50111713266,-51147.49888286734,-0.03791850002610144
371,7895.0,53.20254,-6.109216,1,house,A98,845000.0,1160404.424191337,315404.4241913371,0.48073667464170267
103,1825.0,53.262511,-6.205684,2,house,D18,545000.0,555517.0460969327,10517.046096932725,0.01602999000618268
53,1228.0,53.260184,-6.22384,1,apartment,D18,265000.0,295211.5129451255,30211.51294512552,0.046048124741343774
75,13585.0,53.851896,-9.306525,1,house,F23,189000.0,142375.8519156027,-46624.14808439731,-0.034565087227507986
104,7010.0,54.018342,-6.391715,3,house,A91,210000.0,264381.15434192633,54381.15434192633,0.08288728152289787
104,1737.0,53.805044,-9.525851,2,house,F28,280000.0,268091.2872367181,-11908.712763281888,-0.00882859445892859
70,8426.0,53.406409,-6.248025,2,apartment,D09,250000.0,266535.1244005054,16535.12440050539,0.02520269250967649
294,4284.0,53.3281,-6.251151,5,house,D06,2650000.0,1714445.230575391,-935554.7694246089,-0.6935790473369405
86,21729.0,53.461817,-6.218685,1,house,K67,400000.0,329685.8949158791,-70314.10508412088,-0.05212777660102994
74,2003.0,53.766515,-6.393604,1,house,A92,200000.0,159196.9659658846,-40803.03403411541,-0.03024956998641978
116,1070.0,52.670904,-6.294224,2,apartment,Y25,240000.0,271204.4495884086,31204.449588408577,0.04756155011971518
105,3574.0,53.167436,-6.533259,1,house,W91,295000.0,316324.89094302856,21324.890943028557,0.03250321293156446
52,9898.0,53.337172,-6.282334,1,apartment,D08,280000.0,279557.35641202034,-442.6435879796627,-0.00032815643519145115
130,3293.0,53.3621206,-6.2028411,3,house,D03,995000.0,709729.0964127037,-285270.90358729626,-0.2114872672443464
61,2328.0,53.313324,-6.207533,1,apartment,D04,375000.0,427902.0307337221,52902.03073372209,0.08063281420965314
62,10542.0,53.357912,-6.261216,1,apartment,D01,285000.0,290774.91794078733,5774.917940787331,0.008802079597649037
111,32091.0,53.203752,-6.101075,2,house,A98,275000.0,562746.2082662747,287746.20826627465,0.4385802629666698
283,2490.0,53.77371,-6.3836,5,house,,595000.0,643092.587003432,48092.58700343198,0.07330230198965507
166,6418.0,52.757456,-9.233083,4,house,,125000.0,314595.596124308,189595.596124308,0.2889799553103876
170,3827.0,51.93350676646648,-8.565939913035209,3,house,T23,430000.0,448477.74071839126,18477.74071839126,0.028163611371736043
84,2875.0,54.503046,-8.187347,1,house,F94,89000.0,136539.40336752124,47539.40336752124,0.07245914431272721
106,7996.0,54.035309,-7.201282,2,house,,170000.0,168497.59904084966,-1502.4009591503418,-0.0011138138140287376
254,5222.0,53.304726,-8.744791,5,house,H65,500000.0,528847.8491092112,28847.849109211238,0.0439696402068057
192,2874.0,53.296465,-6.209697,3,house,A94,1150000.0,1164240.9415785538,14240.941578553757,0.021705919045978714
106,7772.0,53.365722,-6.306651,2,house,D07,600000.0,497353.0170396002,-102646.98296039982,-0.07609794635269869
108,8374.0,51.917658,-8.447921,2,house,T23,295000.0,290612.7451204605,-4387.254879539483,-0.00325251728623735
168,3394.0,53.51924528386076,-8.793321425893339,3,house,H54,170000.0,256860.2118904204,86860.21189042041,0.1323915779873239
88,1662.0,51.623596,-8.889128,1,house,P85,225000.0,231245.55188117252,6245.55188117252,0.009519415748067283
186,1461.0,53.395139,-6.286599,2,house,D11,574950.0,648383.0735773622,73433.07357736223,0.11192605078641825
172,7175.0,53.279866,-9.070884,2,house,H91,525000.0,479406.42069591716,-45593.57930408284,-0.033801068982691265
101,12151.0,53.395823,-6.320821,3,house,D11,305000.0,363778.17931585375,58778.17931585375,0.08958918866862663
183,0.0,53.102056,-8.758148,3,house,,349000.0,336693.6440865996,-12306.355913400417,-0.00912338955404514
109,5967.0,53.281729,-6.426461,3,house,D22,360000.0,361306.8916524652,1306.8916524652159,0.0019919528672875976
140,3476.0,52.656472,-8.551391,2,house,V94,385000.0,305847.8480664523,-79152.15193354769,-0.05867991477025197
98,5231.0,52.18050381063583,-8.909828161376879,3,house,,170000.0,188034.53260884073,18034.53260884073,0.027488077433663247
119,4676.0,51.866997,-8.488214,3,house,T12,320000.0,355364.7303307259,35364.7303307259,0.05390261377082067
107,13891.0,53.341651,-6.327006,2,house,D08,295000.0,466307.80258355103,171307.80258355103,0.26110585977143547
250,11321.0,53.470271,-6.375898,4,house,D15,895000.0,872870.709987624,-22129.290012376034,-0.016405679695766315
210,3946.0,52.222009,-6.975352,3,house,X91,495000.0,462280.4212292308,-32719.578770769178,-0.024256852741024716
88,4126.0,53.247309,-6.6595,1,apartment,W91,210000.0,234877.05242240644,24877.052422406443,0.03791738650178218
218,5703.0,52.995234,-6.171914,4,house,A67,975000.0,696353.9024420944,-278646.0975579056,-0.2065759282134068
