price,floor_area,latitude,longitude,bedroom,bathroom,type_house,place,predicted_price,residual,res_percentage
695000.0,126,53.364258,-6.274423,4,2,house,Dublin 9,596019.9638176279,-98980.03618237213,-0.14241731824801745
235000.0,60,51.920785,-8.384848,2,2,house,Glanmire,207104.14961033472,-27895.850389665284,-0.1187057463390012
275000.0,82,53.289023,-6.384621,3,1,house,Dublin 24,299605.1665664522,24605.166566452186,0.08947333296891705
270000.0,118,52.513060644802266,-6.594373295471655,4,2,house,Enniscorthy,238348.7769665894,-31651.223033410613,-0.11722675197559486
255000.0,112,52.513060644802266,-6.594373295471655,3,2,house,Enniscorthy,226106.90415235606,-28893.09584764394,-0.11330625822605467
469000.0,156,52.67189077477643,-7.234891523568308,4,2,house,Kilkenny,378615.65853488684,-90384.34146511316,-0.19271714598105152
429000.0,158,52.67189077477643,-7.234891523568308,4,2,house,Kilkenny,378883.2052361797,-50116.794763820304,-0.11682236541683054
285000.0,106,52.64556987837384,-7.268047941441438,2,2,,Kilkenny,236283.2253193011,-48716.7746806989,-0.1709360515112242
340000.0,142,52.748299556753125,-8.768721306862489,4,3,house,Miltown Malbay,292911.73864649585,-47088.261353504146,-0.13849488633383572
310000.0,105,52.64556987837384,-7.268047941441438,3,3,house,Kilkenny,248676.10097626824,-61323.89902373176,-0.19781902910881213
255000.0,102,52.32500830205734,-6.462498885578981,3,3,house,Wexford,255440.9733441989,440.97334419889376,0.0017293072321525244
250000.0,95,52.32500830205734,-6.462498885578981,3,3,house,Wexford,239866.25844474943,-10133.74155525057,-0.04053496622100228
185000.0,105,52.333519,-7.315405,3,2,house,Carrick on Suir,216013.09131339303,31013.09131339303,0.1676383314237461
500000.0,153,51.53049,-9.48442,4,3,house,Skibbereen,456857.91312117025,-43142.08687882975,-0.08628417375765951
395000.0,189,54.971052,-7.692054,3,3,house,Letterkenny,300049.04542949656,-94950.95457050344,-0.24038216346962896
285000.0,84,53.393464,-6.407156,3,1,house,Dublin 15,289589.45038186037,4589.45038186037,0.01610333467319428
795000.0,267,53.023818,-6.221467,4,2,,,891239.3748556918,96239.3748556918,0.12105581742854314
